ZipCode,State,County,May5CovidRestrictionsRank,May19CovidRestrictionsRank,CovidRestrictionsCategorical,HitDateByState(June26),Population,NumericalRestriction,DateBeginRestrictions,CovidImpactCategorical,Covid.per.10.000,NumCovidCases(Mid/late June),AreaName,PVI,District,PVI#,NumSocSec65,PropSocSec65,LandSqMi,PopDensity,PopDensityCategorical,MedianAge,MedianHouseholdIncome,MedHouseIncomeCategorical,PercentPoverty,PercentWhite,RaceCategorical,Race,PercentBlack,PercentAsian,PercentHispanic,PercentAmericanIndians,TotalRace,HousingCategorical,RUCA2,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30
15068,PA,Westmoreland,47,25,High,Early,37552,38,3/23/2020,Low,15.45,58,Kew Kensington,R+14/D+3,PA-14/18,-5.5,"7,860",0.2093,45.1,832.64,Mid,46.3,52424,Mid,16.1,87.1,White,White,7.6,0,2.1,0,96.8,Low,1,136099,136980,138027,138508,138963,139422,139950,140796,141332,141667,142023,142700,142892,143254
15102,PA,Allegheny,47,25,High,Early,29580,38,3/23/2020,Low,9.47,28,Bethel Park,R+14/D+3,PA-14/18,-5.5,"6,525",0.2206,10.3,2871.84,High,45.7,76197,Mid,5.5,93.4,White,White,0,2,0,0,95.4,Mid,1,216867,218503,220114,220140,220387,221074,222134,223339,224175,224853,225700,226670,226299,226221
15317,PA,Washington,47,25,High,Early,38561,38,3/23/2020,Low,8.82,34,Canonsburg,R+14/R+3,PA-14/17,-8.5,"7,735",0.2006,45.7,843.79,Mid,43.7,86631,Mid,4.4,91.5,White,White,3.5,0,2.1,0,97.1,Mid,1,274095,275205,275676,276074,277033,277750,278333,278771,279007,279458,279814,279431,279172,279289
15642,PA,Westmoreland,47,25,High,Early,44060,38,3/23/2020,Low,7.94,35,Irwin,R+14/D+3,PA-14/18,-5.5,"9,315",0.2114,44.2,996.83,Mid,45.7,72524,Mid,4.9,96.7,White,White,1.1,0,0,0,97.8,Mid,1,215961,216596,217549,218400,218657,219202,219822,220600,221005,221332,221715,222434,223121,223385
15650,PA,Westmoreland,47,25,High,Early,26994,38,3/23/2020,Mid,35.93,97,Latrobe,R+22/R+14,PA-13/14,-18,"6,015",0.2228,74.7,361.37,Mid,44.6,57523,Mid,8.5,95,White,White,0,1.2,0,0,96.2,Low,1,145099,145617,146284,146816,147885,149194,150364,151050,151373,151381,151828,152501,153190,153635
15701,PA,Indiana,47,25,High,Early,34184,38,3/23/2020,Low,8.78,30,Indiana ,R+20,PA-15,-20,"5,475",0.1602,115.3,296.48,Mid,31.4,45353,Low,20.6,88.7,White,White,4.7,2.1,0,0,95.5,Low,4,156281,156804,157374,157940,158540,159044,159377,159535,159573,159657,159893,160197,160505,160733
15717,PA,Indiana,47,25,High,Early,9923,38,3/23/2020,Mid,23.18,23,Blairsville,R+22/R+20,PA-13/15,-21,"2,120",0.2136,95,104.45,Mid,47.1,51915,Mid,12.4,93.9,White,White,2.9,0,0,0,96.8,Low,7.2,109941,110274,110825,111303,111879,112365,112746,112937,113074,113226,113454,113763,114127,114489
17006,PA,Perry,47,25,High,Early,1018,38,3/23/2020,Very Low,1.00,1-4,Blain,R+17,PA-12,-17,170,0.1670,76.9,13.24,Low,35.2,48654,Low,13.5,97.3,White,White,0,0.8,0.9,0,99,Low,10.1,108500,109145,109662,110135,110617,111052,111339,111277,111445,111885,112542,113069,113510,113455
17050,PA,Cumberland,47,25,High,Early,37619,38,3/23/2020,Mid,24.72,93,Mechanicsburg,R+6,PA-10,-6,"7,175",0.1907,32.1,1171.93,High,42.6,87753,Mid,4,81.5,Mostly White,White,0,11.4,3.3,0,96.2,Mid,1,280644,281035,281914,283105,283963,284899,285717,286559,287130,287934,289055,290595,292645,293991
17090,PA,Perry,47,25,High,Early,5662,38,3/23/2020,Low,12.36,7,Shermans Dale,R+6/R+17,PA-10/12,-11.5,925,0.1634,33.8,167.51,Mid,45.1,56391,Mid,8.5,96.6,White,White,1.4,0,1.1,0,99.1,Mid,2,218130,219074,220292,221509,222596,223514,224287,224890,225316,225678,225975,226149,226324,226175
